id,id_aziende,id_fornitori,codice,codice_ufficiale,codice_alternativo_ufficiale,nome,nome_eng,descrizione,descrizione_eng,descrizione_estesa,descrizione_estesa_eng,meta_title,meta_title_eng,meta_description,meta_description_eng,produttore,originale,parte_sportiva,memorabilia,descrizione_tecnica,immagine,galleria,id_brand,prezzo,esente_iva,richiesta_preventivo,quantita_min,quantita_confezione,unita,iva,accise,importo_minimo,sconto_base1,sconto_base2,sconto_base3,sconto_applicato,categoria_merceologica,tipologia,id_varianti_set_tipologie,disponibilita,ordinabile,forza_immagini,attivo,tag,quantita,id_materiali,anno_produzione,taglia,peso,altezza,larghezza,lunghezza,condizioni_ricambio,stato,data_inserimento,data_modifica,data_rimozione,data_vendita,aziende,fornitori,brand,varianti_set_tipologie,materiali
9376,181,181,1.76E+12,,,Dischi freno Ferrari 488 Pista originale ,Original Ferrari 488 Pista brake discs,"Dischi freno Ferrari 488 Pista originale , Nos, perfette condizioni ","Original Ferrari 488 Pista brake discs, Nos, perfect condition","Dischi freno Ferrari 488 Pista originale , Nos, perfette condizioni ","Original Ferrari 488 Pista brake discs, Nos, perfect condition",,,,,,1,0,0,,whatsapp_image_20250825_a_6-nobg.png,"whatsapp_image_20250825_a_6.jpeg,whatsapp_image_20250825_a_7.jpeg,whatsapp_image_20250825_a_8.jpeg,whatsapp_image_20250825_a_9.jpeg,whatsapp_image_20250825_a_10.jpeg,whatsapp_image_20250825_a_11.jpeg",,7000,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,10,100,100,100,nuovo epoca,pubblicato,27/08/25 11:20,27/08/25 13:00,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9375,181,181,1.76E+12,,,Ferrari 458 Speciale set cerchi ,Ferrari 458 Speciale wheel set,"Ferrari 458 Speciale set cerchi, NOS, condizioni perfette ","Ferrari 458 Speciale wheel set, NOS, perfect condition","Ferrari 458 Speciale set cerchi, NOS, condizioni perfette ","Ferrari 458 Speciale wheel set, NOS, perfect condition",,,,,,0,0,0,,whatsapp_image_20250825_a-nobg.png,"whatsapp_image_20250825_a.jpeg,whatsapp_image_20250825_a_2.jpeg,whatsapp_image_20250825_a_3.jpeg,whatsapp_image_20250825_a_4.jpeg,whatsapp_image_20250825_a_5.jpeg",,7000,0,1,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,10,120,110,130,nuovo epoca,archiviato,25/08/25 11:47,27/08/25 13:58,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9374,118,118,1.76E+12,,,Pinze Freno Racing Girling AR3 grandi,Girling Big AR3 Racing Brake Calipers,"Coppia Pinze Freno Racing Girling AR3 grandi usate, 
per Ford GT40 e Jaguar E-Type Lightweight","Used pair of big Girling AR3 Racing brake calipers,
for Ford GT40 and Jaguar E-Type Lightweight","Coppia pinze freno racing Girling AR3 grandi, usate
Con:
2 pompanti Ø 54 mm (2,125 inc)
Spessore disco 12,7 mm (0,50 inc)
Interasse foratura 81 mm (3,20 inc)

Revisionate nel 2009, utilizzate per una sola giornata di prove libere; e ferme da allora
Complete di pastiglie freno Ferodo Racing seminuove

Utilizzabili su: Ford GT40, Jaguar Low Drag Coupé, Jaguar E-Type Lightweight, Can-Am sportcar, Shelby A.C. Cobra","Pair of big Girling AR3 racing brake calipers, used
With:
Two pistons, Ø 54 mm (2.125 in)
Disc thickness: 12.7 mm (0.50 in)
Drill spacing: 81 mm (3.20 in)

Reconditioned in 2009, used for a single day of free practice; they have been stored since then.
Complete with almost new Ferodo Racing brake pads.

Suitable for: Ford GT40, Jaguar Low Drag Coupé, Jaguar E-Type Lightweight, Can-Am sports car, Shelby A.C. Cobra",,,,,Girling,0,1,0,,20250226_125608-nobg.png,"20250226_125608.jpg,20250226_125619.jpg,20250226_125630.jpg,20250226_125657.jpg",,1900,1,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,30,50,60,50,usato,pubblicato,14/08/25 09:29,27/08/25 15:12,0000-00-00 00:00:00,0000-00-00 00:00:00,"Luigi Moreschi Motorsport
<br>(<i>Seller Pro 118</i>)",,,,
9373,118,118,1.75E+12,V1 252 241 9,,Pompa Olio BMW M12/7 F2,BMW M12/7 F2 Oil Pump,Pompa Olio carter secco BMW M12/7 F2,BMW M12/7 F2 Dry Sump Oil Pump,"Pompa olio carter secco in magnesio, 
originale BMW motorsport Codice V1 252 241 9, usata;
completa di tutte le sue componenti, smontata.

Per motori: BMW M12 Formula 2, BMW M12/7 F2, BMW M12/10 F1, BMW S14 DTM

","Magnesium dry sump oil pump,
original BMW Motorsport Part No. V1 252 241 9, used;
complete with all its components, disassembled.

For engines: BMW M12 Formula 2, BMW M12/7 F2, BMW M12/10 F1, BMW S14 DTM

",,,,,BMW,1,1,0,,01_2-nobg.png,"01_2.jpg,02_2.jpg,03_2.jpg,04_2.jpg,05_2.jpg",,2049.18,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,5,20,30,40,usato,pubblicato,08/08/25 06:14,08/08/25 13:00,0000-00-00 00:00:00,0000-00-00 00:00:00,"Luigi Moreschi Motorsport
<br>(<i>Seller Pro 118</i>)",,,,
9372,181,181,1.75E+12,,,Diffusore Posteriore Lamborghini SVJ,Lamborghini SVJ Rear Diffuser,Diffusore Posteriore Originale in Carbonio per Lamborghini Aventador SVJ ,Original Carbon Fiber Rear Diffuser for Lamborghini Aventador SVJ,"Diffusore posteriore originale in carbonio per Lamborghini Aventador SVJ
Il paraurti è completo ","Original carbon fiber rear diffuser for Lamborghini Aventador SVJ
The bumper is complete",,,,,Lamborghini,1,0,0,,d29ce16aeb194fd795dfd47a1-nobg.png,"d29ce16aeb194fd795dfd47a1.jpeg,83d560345fdf433e954266348.jpeg,09448dc410274402ab52773e6.jpeg,e6c998d411d44dc59e07d92cd.jpeg,7cf378700d6b4960bd8bae3c4.jpeg,6d31a976b5874491adb27ebba.jpeg",,14000,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,20,50,60,160,nuovo epoca,pubblicato,05/08/25 10:56,05/08/25 13:00,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9371,181,181,1.75E+12,,,Manuali Originali Lamborghini,Original Lamborghini Manuals,Manuali Originali Lamborghini,Original Lamborghini Manuals,Manuali Originali Lamborghini,Original Lamborghini Manuals,,,,,Lamborghini,1,0,1,,img20250804wa0159-nobg.png,"img20250804wa0159.jpg,img20250804wa0160.jpg,img20250804wa0162.jpg,img20250804wa0163.jpg,img20250804wa0165.jpg,img20250804wa0166.jpg,img20250804wa0161.jpg,img20250804wa0164.jpg",,7000,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,10,20,20,20,usato,archiviato,04/08/25 11:43,05/08/25 03:52,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9370,118,118,1.75E+12,,,Cambio BMW 3.0 csl Getrag 5 marce,BMW 3.0 csl Getrag 5-speed gearbox,Cambio Getrag 265 5 marce per BMW 3.0 csl E9,Getrag 265 5-speed gearbox for BMW 3.0 csl E9,"Cambio Getrag 265 
5 marce ravvicinato con prima in dietro
derivato da una BMW 3.0 csl E9 Batmobile

Completo di campana per motore BMW M30
Con leva di comando in Ergal ossidto

Utilizzabile anche su: BMW 3.0 cs E9, BMW 635 csi E24, BWM M3 E30","Getrag 265 transmission
5-speed close-ratio gearbox with first gear in reverse
derived from a BMW 3.0 csl E9 Batmobile

Complete with bell housing for BMW M30 engine
With oxidized Ergal control lever

Also suitable for: BMW 3.0 cs E9, BMW 635 csi E24, BMW M3 E30",,,,,BMW / Getrag,0,1,0,,20220628_151309-nobg.png,"20220628_151309.jpg,20220628_151250.jpg,20220628_175900.jpg",,3000,1,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,101,70,60,120,usato,pubblicato,01/08/25 16:25,02/08/25 03:00,0000-00-00 00:00:00,0000-00-00 00:00:00,"Luigi Moreschi Motorsport
<br>(<i>Seller Pro 118</i>)",,,,
9355,181,181,1.75E+12,31016759,,Dischi Lamborghini Diablo e Lamborghini Murcielago anteriori,Lamborghini Diablo and Lamborghini Murcielago front discs,Dischi Lamborghini Diablo e Lamborghini Murcielago anteriori,Lamborghini Diablo and Lamborghini Murcielago front discs,Dischi Lamborghini Diablo e Lamborghini Murcielago anteriori,Lamborghini Diablo and Lamborghini Murcielago front discs,,,,,Lamborghini,1,0,0,,dischi_lambo_1_2-nobg.png,"dischi_lambo_1_2.jpg,dischi_lambo_1_3.jpg,dischi_lambo_1.jpg",,2600,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,10,10,10,nuovo epoca,archiviato,31/07/25 17:18,05/08/25 03:52,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9350,181,181,1.75E+12,4004019BK,,Sospensioni Lamborghini Gallardo con lift,Lamborghini Gallardo suspension with lift,Sospensioni Lamborghini Gallardo con lift,Lamborghini Gallardo suspension with lift,Sospensioni Lamborghini Gallardo con lift,Lamborghini Gallardo suspension with lift,,,,,Lamborghini,1,0,0,,_dsc0098-nobg.png,"_dsc0098.jpg,_dsc0099.jpg,_dsc0100.jpg,_dsc0091.jpg,_dsc0092.jpg,_dsc0093.jpg,_dsc0094.jpg,_dsc0095.jpg,_dsc0096.jpg",,2800,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,01/08/25 11:25,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9351,181,181,1.75E+12,2900315839,,Aspirazione completa con ERG cooler per Audi A8 4.0,Complete intake with ERG cooler for Audi A8 4.0,Aspirazione completa con ERG cooler per Audi A8 4.0,Complete intake with ERG cooler for Audi A8 4.0,Aspirazione completa con ERG cooler per Audi A8 4.0,Complete intake with ERG cooler for Audi A8 4.0,,,,,Lamborghini,1,0,0,,_dsc0104-nobg.png,"_dsc0104.jpg,_dsc0105.jpg,_dsc0106.jpg,_dsc0107.jpg,_dsc0108.jpg",,450,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,01/08/25 11:31,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
